"","id","date","pm25","pm10","o3","no2","so2","co"
"393",tianjin,"2019/4/28",112,41,NA,16,3,7
"394",tianjin,"2019/4/29",135,66,NA,21,5,9
"395",tianjin,"2019/4/30",165,72,NA,20,4,8
"396",tianjin,"2019/5/1",120,41,NA,18,3,5
"397",tianjin,"2019/5/2",56,53,NA,14,6,6
"398",tianjin,"2019/5/3",79,63,NA,13,8,6
"399",tianjin,"2019/5/4",114,66,NA,13,8,8
"400",tianjin,"2019/5/5",129,65,NA,8,4,3
"401",tianjin,"2019/5/6",82,42,NA,13,4,4
"402",tianjin,"2019/5/7",60,51,NA,13,6,4
"403",tianjin,"2019/5/8",87,70,NA,17,10,7
"404",tianjin,"2019/5/9",148,78,NA,20,6,7
"405",tianjin,"2019/5/10",152,67,NA,15,8,8
"406",tianjin,"2019/5/11",135,63,NA,19,6,8
"407",tianjin,"2019/5/12",140,277,NA,20,6,16
"408",tianjin,"2019/5/13",173,63,NA,8,4,5
"409",tianjin,"2019/5/14",99,106,NA,18,8,9
"410",tianjin,"2019/5/15",139,106,NA,12,6,10
"411",tianjin,"2019/5/16",135,74,NA,10,6,9
"412",tianjin,"2019/5/17",146,65,NA,10,3,9
"413",tianjin,"2019/5/18",135,31,NA,8,3,6
"414",tianjin,"2019/5/19",53,57,NA,7,1,4
"415",tianjin,"2019/5/20",94,49,NA,11,1,3
"416",tianjin,"2019/5/21",49,41,NA,16,2,4
"417",tianjin,"2019/5/22",61,52,NA,21,5,6
"418",tianjin,"2019/5/23",93,79,NA,28,5,9
"419",tianjin,"2019/5/24",126,67,NA,8,3,4
"420",tianjin,"2019/5/25",80,70,NA,13,5,6
"421",tianjin,"2019/5/26",116,64,NA,10,2,8
"422",tianjin,"2019/5/27",122,16,NA,8,NA,2
"423",tianjin,"2019/5/28",25,42,NA,18,3,2
"424",tianjin,"2019/5/29",62,67,NA,15,6,5
"425",tianjin,"2019/5/30",115,48,NA,9,3,3
"426",tianjin,"2019/5/31",53,33,NA,11,1,1
"427",tianjin,"2019/6/1",31,59,NA,18,5,5
"428",tianjin,"2019/6/2",86,72,NA,14,6,8
"429",tianjin,"2019/6/3",110,62,NA,12,4,7
"430",tianjin,"2019/6/4",92,59,NA,15,5,7
"431",tianjin,"2019/6/5",126,69,NA,20,4,11
"432",tianjin,"2019/6/6",154,63,NA,19,2,10
"433",tianjin,"2019/6/7",148,52,NA,13,2,6
"434",tianjin,"2019/6/8",123,55,NA,11,2,5
"435",tianjin,"2019/6/9",103,38,NA,8,2,5
"436",tianjin,"2019/6/10",74,48,NA,11,4,7
"437",tianjin,"2019/6/11",89,39,NA,10,3,7
"438",tianjin,"2019/6/12",66,67,NA,17,3,8
"439",tianjin,"2019/6/13",93,60,NA,14,3,12
"440",tianjin,"2019/6/14",90,66,NA,19,3,17
"441",tianjin,"2019/6/15",159,42,NA,11,4,8
"442",tianjin,"2019/6/16",97,23,NA,9,2,5
"443",tianjin,"2019/6/17",46,49,NA,16,5,8
"444",tianjin,"2019/6/18",105,66,NA,16,3,9
"445",tianjin,"2019/6/19",117,51,NA,12,2,11
"446",tianjin,"2019/6/20",147,72,NA,15,2,10
"447",tianjin,"2019/6/21",163,46,NA,11,2,8
"448",tianjin,"2019/6/22",111,34,NA,15,2,6
"449",tianjin,"2019/6/23",51,49,NA,13,4,6
"450",tianjin,"2019/6/24",79,57,NA,14,6,7
"451",tianjin,"2019/6/25",98,66,NA,11,3,7
"452",tianjin,"2019/6/26",101,55,NA,11,8,5
"453",tianjin,"2019/6/27",88,56,NA,11,3,6
"454",tianjin,"2019/6/28",105,52,NA,11,3,6
"455",tianjin,"2019/6/29",100,42,NA,9,4,6
"456",tianjin,"2019/6/30",108,33,NA,10,4,4
"457",tianjin,"2019/7/1",39,38,NA,11,5,6
"458",tianjin,"2019/1/2",135,71,NA,36,11,11
"459",tianjin,"2019/1/3",155,90,NA,44,19,15
"460",tianjin,"2019/1/4",190,40,NA,22,6,7
"461",tianjin,"2019/1/5",84,31,NA,22,4,7
"462",tianjin,"2019/1/6",53,57,NA,37,13,13
"463",tianjin,"2019/1/7",130,55,NA,30,8,10
"464",tianjin,"2019/1/8",110,29,NA,16,3,4
"465",tianjin,"2019/1/9",49,49,NA,26,10,7
"466",tianjin,"2019/1/10",106,96,NA,35,17,14
"467",tianjin,"2019/1/11",173,141,NA,42,14,22
"468",tianjin,"2019/1/12",274,150,NA,31,7,21
"469",tianjin,"2019/1/13",299,179,NA,46,5,30
"470",tianjin,"2019/1/14",321,170,NA,38,8,23
"471",tianjin,"2019/1/15",269,46,NA,11,3,4
"472",tianjin,"2019/1/16",32,75,NA,28,13,12
"473",tianjin,"2019/1/17",138,97,NA,43,19,19
"474",tianjin,"2019/1/18",171,101,NA,45,21,20
"475",tianjin,"2019/1/19",182,62,NA,29,9,17
"476",tianjin,"2019/1/20",119,35,NA,16,3,10
